,Sentence
0,"The U.S. government cannot issue any drilling permits that authorize the use of hydraulic fracturing and acidization off the coast of California until it issues a full Environmental Impact Statement, a federal appeals court held Friday."
1,"The 9th U.S. Circuit Court of Appeals said the Obama administration violated the National Environmental Policy Act (NEPA) in May 2016, when it found that no EIS was necessary because fracking, acidization and other advanced “well stimulation techniques” would have no significant impact on the environment."
2,"Rather than take the “hard look” required by NEPA, two agencies of the U.S. Interior Department relied on “flawed assumptions,” brushed aside gaps in their knowledge as well as known risks in an apparent attempt to justify their earlier practice of allowing offshore fracking and acidization without any environmental review, Circuit Judge Ronald Gould wrote for the panel."
3,"“NEPA review cannot be used as a subterfuge designed to rationalize a decision already made … But that appears to be what happened here,” Gould wrote, joined by Circuit Judges J. Clifford Wallace and Carlos Bea."
4,"The decision affirms and expands a December 2018 ruling by a federal judge in Los Angeles in consolidated cases brought by the Environmental Defense Center, the Center for Biological Diversity, other environmental groups, the state of California, and the California Coastal Commission."
5,"The judge found the Bureau of Ocean Energy Management and the Bureau of Safety and Environmental Enforcement had violated the Endangered Species Act and another environmental law, but not NEPA."
6,"He ordered the agencies to stop issuing permits until they consulted with the U.S. Fish and Wildlife Service and the Coastal Commission – which they are still doing, the 9th Circuit said."
7,The agencies’ lawyer did not immediately respond to requests for comment on Friday.
8,"The decision is also a loss for Exxon Mobil, drilling services firm DCOR, and the American Petroleum Institute, which intervened as parties in support of the agencies, and had no immediate comment."
9,Attorneys for the challengers hailed multiple aspects of the decision.
10,"California Attorney General Rob Bonta emphasized the dangers of offshore drilling generally, and called the agencies’ finding of no significant impact “fundamentally untrue”."
11,Kristin Monsell of the Center for Biological Diversity added that requiring the Interior Department to prepare an EIS – generally a multi-year process – means the public will have an opportunity to comment “and otherwise be involved in the agency’s decisionmaking process”.
12,"In addition, the decision is important because the court rejected the government’s argument that its findings were “insulated from judicial review” — until a new permit is issued, EDC Senior Attorney Maggie Hall said."
13,The lead case is Environmental Defense Center et al v. Bureau of Ocean Energy Management et al.
14,", 9th U.S. Circuit Court of Appeals No."
15,19-55526.
16,"For Environmental Defense Center and Santa Barbara Channelkeeper: Margaret Morgan Hall and Linda Krop of EDC For Center for Biological Diversity and Wishtoyo Foundation: Emily Jeffers, Kristen Monsell, and A. Jean Su of CBD For California and the California Coastal Commission: David Alderson and George Torgun, California Attorney General’s Office For the federal appellants: James Maysonett of the U.S. Justice Department For Exxon Mobil: Jonathan Hunter of Jones Walker and Mark Oppenheimer of O'Melveny & Myers For DCOR Ltd: L. Poe Leggette, Baker & Hostetler For American Petroleum Institute: Bradley Ervin and Steven Rosenbaum of Covington & Burling  Exxon Mobil Corp’s latest shift on climate includes a $1 million donation to a political action committee’s lobbying campaign to promote a U.S. tax on carbon-gas emissions, a central factor in global warming."
17,"The contribution, made to the Americans for Carbon Dividends political action committee of the Climate Leadership Council (CLC), was disclosed by the group on Tuesday, less than a month after Exxon agreed to contribute $100 million to oil companies’ efforts to develop technologies to reduce greenhouse gas emissions."
18,"“Applying a uniform cost across the economy is consistent with our principles on how to manage the risk of climate change,” Exxon spokesman Scott Silvestri said in an email."
19,“We’ve been supportive of a revenue-neutral price on carbon for a decade”.
20,The $1 million contribution will be spread over two years.
21,"Exxon, the world’s largest publicly traded oil company, has supported a carbon tax in the past and has stepped up efforts to reduce greenhouse gas emissions in its operations."
22,Those efforts came amid lawsuits brought by U.S. city and state officials seeking damages to pay for seawalls and other infrastructure to guard against rising sea levels that result from global warming.
23,"The Climate Leadership Council’s PAC aims to spend $5 million on an initial lobbying campaign to win support for the tax, said Greg Bertelsen, senior vice president at the group."
24,"“We’re in the very early days of this organization,” said Bertelsen, who said the PAC is looking to build legislative support for its carbon tax."
25,"It proposes an initial $40-a-ton tax on carbon dioxide that would increase over time, with the money raised to be returned to consumers."
26,"The PAC, led by former U.S. Senators John Breaux and Trent Lott, also has raised $1 million each from Exelon Corp, First Solar Inc and the American Wind Energy Association, he said."
27,"It expects to reach its goal of a $5 million in coming months, he said."
28,The council’s proposal was developed by former Secretaries of State James Baker and George Schultz.
29,"The council’s members include BP Plc, Total SA and General Motors Co.Sustainability-focused hedge fund Engine No."
30,"1 has backed 83% of shareholder resolutions on environmental, social and governance (ESG) topics at top U.S. companies so far this year as it looks to arm investors with more information, leaders said."
31,"Ballot items, such as several at Exxon Mobil Corp (XOM."
32,"N) calling for more details around reduced plastic use and emissions-cut scenarios, help investors understand a business, Engine No."
33,"1 founder and executive chairman, Christopher James, said in an interview with Reuters on Wednesday."
34,"""We're always going be in favor of more data,"" James said."
35,The voting by Engine No.
36,1 - detailed in disclosures by its $347 million Transform 500 exchange-traded fund - contrast with some corporate election trends during the current proxy season.
37,read more The votes also show how James and Chief Executive Jennifer Grancio have shifted focus compared with last year when Engine No.
38,1 forced out three of four Exxon directors it targeted over what the firm called the company's slow response to climate change.
39,"a For now, James waved off challenges to directors elsewhere."
40,"""We don't have anything on the docket,"" he said."
41,Talks with firm holdings like General Motors Corp (GM.
42,"N) on battery technology are ""constructive"" he said."
43,"At Exxon's annual meeting on May 25, Engine No."
44,1 supported all 11 of the company's director nominees and supported four of seven shareholder resolutions.
45,"Shifts under Exxon's new board, such as moving its headquarters to Houston and hiring senior leaders from outside show ""there has clearly been a huge and fundamental change"" in how the firm treats climate risk, James said."
46,"One resolution the firm opposed called for Exxon to set emissions-reductions targets including for ""Scope 3"" emissions created via use of its products."
47,"Proponent Mark van Baal of activist group Follow This called the vote ""an inexplicable U-turn"" compared with last year when Engine No."
48,1 highlighted Exxon's lack of Scope 3 disclosure.
49,James said the vote was justified since Scope 3 accounting methods are still uncertain.
50,James also said he agreed with recent criticism by Tesla Inc (TSLA.
51,"O) CEO Elon Musk that current systems use to rate corporate ESG performance are flawed, which Musk made after Tesla was dropped from a high-profile ESG index."
52,"read more ""For Tesla not to get credit for the decarbonization drive they're doing, I think he's right,"" James said."
53,Massachusetts' high court on Tuesday unanimously rejected Exxon Mobil Corp's (XOM.
54,N) bid to dismiss a lawsuit by the state's attorney general accusing the oil company of misleading consumers and investors about climate change and the dangers of using fossil fuels.
55,The Massachusetts Supreme Judicial Court said Attorney General Maura Healey could pursue what Exxon called a politically-motivated case that it claimed violated a state law protecting defendants from lawsuits designed to silence them.
56,"Justice Scott Kafker, writing for the 7-0 court, said the statute protecting against strategic lawsuits against public participation only applied to private lawsuits, not government enforcement actions."
57,"Applying the so-called anti-SLAPP law to such cases would create ""significant roadblocks"" for the attorney general as the statute requires lawsuits to be largely put on hold until a court decides whether to dismiss them, Kafker said."
58,"Healey, a Democrat running for governor, called the decision ""a resounding victory in our work to stop Exxon from lying to investors and consumers in our state""."
59,"Irving, Texas-based Exxon said it was evaluating its next steps."
60,"Healey sued Exxon in 2019 following a three-year probe, alleging it misled consumers about the impact fossil fuel products had on climate change and deceived investors about the climate-driven risks facing its business."
61,Her lawsuit has progressed further than other pending cases by state and local governments seeking to hold energy companies responsible for climate change.
62,Exxon in 2019 following a trial defeated a case by New York alleging it defrauded investors.
63,Exxon denies wrongdoing and argues Healey brought the case to punish it for its political stances on climate change.
64,The ruling marked the second time Healey and Exxon had gone before the state's top court.
65,"In 2018, the court rejected Exxon's bid to avoid complying with a so-called civil investigative demand, akin to a subpoena, during her probe."
66,Exxon Mobil Corp (XOM.
67,"N) shareholders on Wednesday backed the energy company's board and its energy transition strategy, voting against most proposals to accelerate cuts of carbon emission."
68,Major oil producers this year flipped the script and won over investors to their climate-change strategies as worries over energy security and fuel prices overshadowed environmental resolutions.
69,"At Exxon, results marked a major shift from a year-ago when activist investors secured three seats on its board."
70,"Shareholders voted down a resolution from Dutch activist group Follow This that sought to set targets for reducing its customers' emissions from burning its fuels, called scope 3."
71,Only 28% of votes that were cast backed the proposal.
72,"If approved, it would have reduced sales of fossil fuels, and made the company set and publish medium- and long-term targets for cutting overall greenhouse gas emissions."
73,Chief Executive Darren Woods said the company is expanding investments in fossil fuel production to minimize a global energy shortage and the rising prices for consumers.
74,"""We don't believe scope 3 targets are an effective way to manage total society emissions,"" Woods said."
75,"""Access to reliable energy is foundational to our daily lives""."
76,A report on low-carbon business planning collected 10.
77,5% of ballots cast.
78,"Investors also gave thumbs down to a providing a report on plastic production, with more than 37% in favor."
79,"While Exxon's operational strategy got investor backing, shareholders did endorse a call to provide better climate data analysis."
80,It seeks an audited report assessing the impact that the transition to net zero emissions would have on its finances.
81,"“Today’s vote is a major win for both investors and the planet, and a step change in ensuring company accounts match climate rhetoric,"" Charlie Kronick, a senior programme adviser at Greenpeace UK, said."
82,"Exxon shareholders also rejected calls to replace directors by re-elected its board, and supported the company’s executive compensation program."
83,News that Exxon Mobil will spend $3bn in the next five years on a new low-carbon business unit came after a flurry of announcements signalling that America’s biggest fossil fuel producer has finally accepted that it may need to change course in the face of climate change.
84,"It remains to be seen whether it will be enough to silence Exxon’s legion of critics, including the Attorney General of Connecticut, who in September filed the latest of a wave of lawsuits from US states and cities accusing Exxon Mobil of “an ongoing, systematic campaign of lies and deception” to discredit the scientific consensus about human-induced climate change, despite knowing since the 1970s that fossil fuel production caused global warming."
85,"As late as October, Exxon Mobil’s CEO Darren Woods dismissed the suggestion that climate change concerns posed long-term risk to his industry, reassuring staff that there would be “an ongoing need for the products we produced”."
86,"On the face of it heightened investor pressure from activist investor Engine No 1, backed by heavyweight institutions like the Church Commissioners for England and US hedge fund DE Shaw, have forced Exxon to move into line with US number 2 producer Chevron, with which it is rumoured to be in merger talks."
87,"Before Christmas the Irving, Texas oil major announced a five year programme committing to cut the intensity of CO2 emissions from its upstream production by 15-20% by 2025, and decrease the intensity of methane, a far more potent greenhouse gas, by 40-50% – though this is far lower than the 65% cut in methane emissions by 2025 being proposed by the Clean Air Task Force and under consideration by the Biden administration."
88,"Like Chevron, Exxon’s new targets apply only to Exxon’s scope 1 and 2 emissions, from its own operations, as set out in the Greenhouse Gas Protocol Corporate Accounting and Reporting Standard."
89,"But given that its products fuel the world economy, scopes 1 and 2 account for less than 20% of an oil company’s total emissions."
90,"Scope 3, or the impact of its products in use, accounts for the rest."
91,"While Exxon recently announced it would begin reporting on its Scope 3 emissions this year, US producers lag far behind European energy majors Royal Dutch Shell, BP, and Total, which last year signed up to in committing to net-zero emissions by 2050 across all three scopes."
